MaTin;TenDuAn;Phuong;Duong;Gia(ty);DienTich;ThanhPho;Quan;MoTaNgan;SoPhongNgu;NoiThat;SoTang;MatTien;DuongVao;id;KieuNha
40417366;Bán nhà góc 2 mặt tiền Bùi Hữu Nghĩa ngay Nguyễn Trãi - Trần Hưng Đạo P7 Q5. Chỉ 11.7 tỷ;7;Bùi Hữu Nghĩa;11.7;35;Hồ Chí Minh;Quận 5;Nhà mặt phố tại đường Bùi Hữu Nghĩa;5;Không;3;39.08 m;17.81 m;1;Nhà mặt phố 
40952423;MT Nguyễn Văn Bá, p. Trường Thọ, TĐ. Ngay ga Metro. DT: 10 * 28 = 280m2. Gía 33 tỷ;Trường Thọ;Nguyễn Văn Bá;33.0;280;Hồ Chí Minh;Thủ Đức;Nhà mặt phố tại đường Nguyễn Văn Bá;6;Không;3;10 m;165.2 m;2;Nhà mặt phố 
39057193;HOT! 2PN The Beverly 79m2 rẻ nhất chỉ 3.893tỷ. Vinhomes Grand Park. 0938 859 *** chính chủ;Long Thạnh Mỹ;;3.89;79;Hồ Chí Minh;Quận 9;Căn hộ chung cư tại The Beverly - Vinhomes Grand Park;2;Không;5;30.04 m;10.04 m;3;Căn hộ chung cư 
40882755;Chính chủ 100% - Sang nhượng căn 2PN, NT Châu Âu, view thành phố tại Estella Heights;An Phú;Song Hành;10.8;102;Hồ Chí Minh;Quận 2;Căn hộ chung cư tại Estella Heights;2;Có;2;36.42 m;491.31 m;4;Căn hộ chung cư 
41046102;Rẻ nhất thị trường 110m2 full thổ ngang 5.1m vuông vức - Mặt tiền đường 13 sát Phạm Văn Đồng;Linh Tây;Số 13;7.5;110;Hồ Chí Minh;Thủ Đức;Bán đất tại đường Số 13;7;Không;5;5,1 m;6 m;5;Bán đất 
37241437;Nhà 4 lầu MT Đỗ Xuân Hợp, Q9, DT: 5 * 28m = 140m2. HĐ thuê 30tr/1tháng, gía 17 tỷ;Phước Long B;Đỗ Xuân Hợp;17.0;140;Hồ Chí Minh;Quận 9;Nhà mặt phố tại đường Đỗ Xuân Hợp;3;Có;2;5 m;373.12 m;6;Nhà mặt phố 
40670554;2300m2 đất mặt tiền Tạ Quang Bửu P6 Q8 (Đối diện CH Pegasuite 2, DT 25x90m) giá 114tỷ = 50 tr/m2;6;Tạ Quang Bửu;114.0;2300;Hồ Chí Minh;Quận 8;Nhà mặt phố tại phố Tạ Quang Bửu;6;Không;1;25 m;73.67 m;7;Nhà mặt phố 
41079751;Rẻ nhất Q1! Mặt tiền Tô Hiến Thành - DT: 6x20m - 4 tầng - HĐT: 200tr/th - giá: 68 tỷ thương lượng;13;Tô Hiến Thành;58.0;120;Hồ Chí Minh;Quận 10;Nhà mặt phố tại đường Tô Hiến Thành;8;Có;4;41.25 m;317.2 m;8;Nhà mặt phố 
31622248;Nhà 2 mặt tiền đường Tây Hòa, PL A, Q9, DT 6 * 35m = 210m2 vuông đét,ngay ngã 4 MK. Giá 19,2 tỷ;Phước Long A;Tây Hòa;19.2;210;Hồ Chí Minh;Quận 9;Nhà mặt phố tại đường Tây Hòa;6;Có;5;6 m;30 m;9;Nhà mặt phố 
37471509;Bán gấp CHDV đường Nguyễn Trọng Tuyển, Phú Nhuận, DT 4x21m, 4 tầng, HDT 25tr, giá 11 tỷ TL;8;Nguyễn Trọng Tuyển;11.0;84;Hồ Chí Minh;Phú Nhuận;Nhà riêng tại đường Nguyễn Trọng Tuyển;6;Không;4;19.29 m;440.36 m;10;Nhà riêng 
39456749;Kẹt tiền cần bán 52m2 sạch đẹp, đường 8 Long Phước, khu dân cư đông đúc;Long Phước;Số 8;1.75;52;Hồ Chí Minh;Quận 9;Bán đất tại đường Số 8;2;Không;4;9 m;9 m;11;Bán đất 
41064289;Nhà hẻm xe hơi Bờ Bao Tân Thắng, khu trung tâm AEON Tân Phú, chợ Sơn Kỳ, 61m2, 4.7 tỷ TL;Sơn Kỳ;Bờ Bao Tân Thắng;4.7;61;Hồ Chí Minh;Tân Phú;Nhà riêng tại đường Bờ Bao Tân Thắng;3;Có;2;24.33 m;6 m;12;Nhà riêng 
33066846;Nhà 4 lầu MT Hoàng Diệu 2 TĐ. DT 6 * 38,5 = 230m2 vuông vức, HĐ thuê 57tr/1 tháng. Giá 31 tỷ;Linh Trung;Hoàng Diệu 2;31.0;230;Hồ Chí Minh;Thủ Đức;Nhà mặt phố tại đường Hoàng Diệu 2;2;Không;4;6 m;30 m;13;Nhà mặt phố 
40497402;Bán Building mới tinh ngay MT Hoàng Dư Khương, Quận 10. DT: 6x25m. Hầm 7 tầng. HĐT 250 tr/th. 39 tỷ;12;Hoàng Dư Khương;43.0;150;Hồ Chí Minh;Quận 10;Nhà mặt phố tại đường Hoàng Dư Khương;4;Không;7;6 m;403.84 m;14;Nhà mặt phố 
38411957;Rất thiện chí bán, bán gấp nhà HXH đường Lê Văn Sỹ, Phú Nhuận, DT 4x14m, 3 tầng, giá 9,7 tỷ;13;Lê Văn Sỹ;9.7;56;Hồ Chí Minh;Phú Nhuận;Nhà riêng tại đường Lê Văn Sỹ;4;Không;3;12.92 m;265.29 m;15;Nhà riêng 
39396299;Nhà mặt tiền Võ Văn Ngân (25*45)m=1200m2 giá bán nhanh 140 tỷ còn thương lượng;Bình Thọ;Võ Văn Ngân;140.0;1200;Hồ Chí Minh;Thủ Đức;Nhà mặt phố tại đường Võ Văn Ngân;6;Không;3;25 m;436.3 m;16;Nhà mặt phố 
